Tongue_area_Interval Max,Tongue_area_interval_detection_Interval Start,Tongue_area_interval_detection_Interval End,Tongue_area_interval_detection_Interval Duration,Tongue_area_interval_detection_group_intervals_Interval Overlap Assign ID
1945.000,48.000,89.000,41.000,0
2856.000,105.000,129.000,24.000,0
2550.000,144.000,166.000,22.000,0
2718.000,179.000,203.000,24.000,0
2608.000,218.000,241.000,23.000,0
2858.000,258.000,279.000,21.000,0
2240.000,298.000,315.000,17.000,0
2080.000,336.000,351.000,15.000,0
2540.000,390.000,415.000,25.000,0
3079.000,431.000,457.000,26.000,0
3186.000,475.000,502.000,27.000,0
2815.000,521.000,550.000,29.000,0
3070.000,574.000,600.000,26.000,0
2826.000,624.000,648.000,24.000,0
2171.000,701.000,722.000,21.000,0
2418.000,744.000,767.000,23.000,0
3137.000,784.000,810.000,26.000,0
2989.000,828.000,854.000,26.000,0
2224.000,1261.000,1288.000,27.000,1
2412.000,1313.000,1341.000,28.000,1
2462.000,1590.000,1620.000,30.000,2
2836.000,1634.000,1657.000,23.000,2
2052.000,2190.000,2218.000,28.000,3
2029.000,2987.000,3016.000,29.000,4
2102.000,3034.000,3057.000,23.000,4
2304.000,3538.000,3590.000,52.000,5
2015.000,3611.000,3636.000,25.000,5
2041.000,4240.000,4268.000,28.000,6
2185.000,4291.000,4334.000,43.000,6
2601.000,4350.000,4373.000,23.000,6
1783.000,4411.000,4435.000,24.000,6
1850.000,5309.000,5340.000,31.000,7
1903.000,5759.000,5798.000,39.000,8
2189.000,5826.000,5853.000,27.000,8
2528.000,6640.000,6684.000,44.000,9
2879.000,6696.000,6719.000,23.000,9
2239.000,6733.000,6756.000,23.000,9
3087.000,6770.000,6795.000,25.000,9
2744.000,6811.000,6833.000,22.000,9
2638.000,6850.000,6871.000,21.000,9
2491.000,6888.000,6908.000,20.000,9
2019.000,6928.000,6945.000,17.000,9
1720.000,6966.000,6981.000,15.000,9
804.000,7045.000,7052.000,7.000,9
2475.000,7181.000,7208.000,27.000,10
2080.000,7255.000,7280.000,25.000,10
2721.000,7297.000,7321.000,24.000,10
2076.000,7344.000,7368.000,24.000,10
581.000,7420.000,7427.000,7.000,10
2136.000,8169.000,8196.000,27.000,11
2654.000,8215.000,8240.000,25.000,11
2128.000,9339.000,9363.000,24.000,12
2257.000,9382.000,9405.000,23.000,12
2236.000,9634.000,9665.000,31.000,13
2277.000,9698.000,9736.000,38.000,13
2894.000,9750.000,9774.000,24.000,13
2604.000,9790.000,9813.000,23.000,13
1829.000,9846.000,9870.000,24.000,13
1949.000,10356.000,10396.000,40.000,14
2656.000,10415.000,10440.000,25.000,14
2129.000,10459.000,10486.000,27.000,14
1781.000,10671.000,10700.000,29.000,15
2202.000,11536.000,11564.000,28.000,16
2323.000,12169.000,12195.000,26.000,17
2742.000,12217.000,12262.000,45.000,17
2779.000,12277.000,12301.000,24.000,17
2004.000,12331.000,12356.000,25.000,17
2119.000,12866.000,12894.000,28.000,18
2414.000,13592.000,13617.000,25.000,19
2281.000,13914.000,13951.000,37.000,20
2836.000,13964.000,13987.000,23.000,20
2897.000,14003.000,14029.000,26.000,20
2934.000,14044.000,14070.000,26.000,20
2361.000,14089.000,14111.000,22.000,20
2888.000,14126.000,14148.000,22.000,20
2757.000,14166.000,14187.000,21.000,20
3204.000,14203.000,14226.000,23.000,20
2941.000,14242.000,14264.000,22.000,20
2928.000,14281.000,14303.000,22.000,20
3020.000,14321.000,14343.000,22.000,20
3240.000,14359.000,14382.000,23.000,20
2820.000,14401.000,14422.000,21.000,20
3166.000,14440.000,14463.000,23.000,20
2788.000,14483.000,14505.000,22.000,20
3116.000,14523.000,14548.000,25.000,20
3223.000,14566.000,14590.000,24.000,20
3115.000,14608.000,14632.000,24.000,20
2932.000,14652.000,14676.000,24.000,20
3111.000,14695.000,14719.000,24.000,20
3131.000,14737.000,14762.000,25.000,20
2958.000,14782.000,14805.000,23.000,20
2933.000,14825.000,14848.000,23.000,20
3008.000,14867.000,14891.000,24.000,20
2788.000,14910.000,14935.000,25.000,20
3010.000,14953.000,14978.000,25.000,20
2939.000,14997.000,15021.000,24.000,20
3017.000,15040.000,15065.000,25.000,20
2746.000,15085.000,15109.000,24.000,20
3003.000,15128.000,15152.000,24.000,20
2871.000,15173.000,15199.000,26.000,20
3003.000,15220.000,15245.000,25.000,20
2927.000,15266.000,15291.000,25.000,20
2617.000,15314.000,15337.000,23.000,20
2882.000,15360.000,15383.000,23.000,20
3143.000,15405.000,15431.000,26.000,20
3131.000,15454.000,15479.000,25.000,20
3134.000,15499.000,15525.000,26.000,20
2766.000,15548.000,15571.000,23.000,20
2952.000,15591.000,15615.000,24.000,20
2136.000,15640.000,15660.000,20.000,20
2811.000,15680.000,15704.000,24.000,20
2105.000,15727.000,15746.000,19.000,20
920.000,15779.000,15789.000,10.000,20
455.000,15816.000,15820.000,4.000,20
367.000,15848.000,15852.000,4.000,20
2126.000,16156.000,16175.000,19.000,21
2576.000,16199.000,16221.000,22.000,21
3013.000,16244.000,16267.000,23.000,21
